serial,description,meter,historical_matches
11-14163,2022 JOHN DEERE 544 P-TIER,104.3,3
11-14178,2022 CATERPILLAR 299D3,968.2,20
11-14221,2022 CATERPILLAR 259D,171.5,2
11-14230,2022 CATERPILLAR 299D3,483.0,6
11-14330,2022 CATERPILLAR 299D3,348.5,1
11-14332,2017 CAT 950M,1602.5,2
11-14400,2008 CATERPILLAR 980H,18321.1,3
11-14411,2023 JOHN DEERE 333G,27.3,28
11-14413,2023 JOHN DEERE 333G,1017.2,14
11-14415,2023 CATERPILLAR 299D3,1179.5,11
11-14417,2023 CATERPILLAR 299 D3,2555.9,17
11-14419,2023 CATERPILLAR 299D3,1831,15
11-14421,2023 TAKEUCHI TL 12V2,635.4,4
11-14466,2023 CATERPILLAR 279D3,4.9,23
11-14475,2023 JOHN DEERE 624P,1211.4,17
11-14478,2023 JOHN DEERE JD 624P,985.9,8
11-14552,2008 CATERPILLAR 963D,8235,4
11-14578,2023 JOHN DEERE 744 P-TIER,115.9,2
11-14738,2023 TAKEUCHI TL 12V2 HI-FLOW,65.9,11
11-14740,2023 TAKEUCHI TL 12V2 HI-FLOW,N/A,11
11-14930,2024 CATERPILLAR 299D3,513.9,1
11-15109,2022 CATERPILLAR 953K,1149.2,2
11-15125,2024 CATERPILLAR 299D3,1084.8,3
11-15127,2024 CATERPILLAR 299D3,5.4,2
11-15129,2024 CATERPILLAR 299D3,1609.1,14
11-15131,2018 CATERPILLAR 938M,5125,11
11-15134,2017 CATERPILLAR 938M,2829.0,1
11-15172,2024 CATERPILLAR 299D3,4.3,2
11-15193,2024 CATERPILLAR 963,1756.2,1
11-15278,2020 CATERPILLAR 938M,3130.3,14
11-15355,CATERPILLAR 265,N/A,3
11-15383,2024 CATERPILLAR 299D3,1813.7,3
11-15385,2024 CATERPILLAR 299D3,183.4,5
11-15387,2024 CATERPILLAR 299D3,4.3,2
11-15389,2024 CATERPILLAR 299D3,811,12
11-15403,CAT 299 SKID STEER BKT & FRKS,1546,2
11-15433,2024 JOHN DEERE 624P,954.2,4
11-15561,2025 CATERPILLAR 275,20.5,11
11-15563,CAT 275 SKID STEER,773.7,2
11-15572,2023 CATERPILLAR 963,2586.2,7
11-15620,2025 CATERPILLAR 963,108,2
11-15640,2024 CATERPILLAR 299D3,784.3,13
11-15642,2024 CATERPILLAR 299D3,89.6,5
11-15663,2022 JOHN DEERE 624P,4720.8,3
11-15734,JOHN DEERE 624P,1268.3,10
11-15745,2024 JOHN DEERE 624P,1811.3,6
